id_elemento,descripcion,activo
999,VARIOS,true
A0770,ARTEMA,true
AA302,AMEDA AG,true
AB0708,ARISTA BIOLOGICALS INC,true
AB7635,AMERSHAM BIOSCIENCES,true
AC0288,ALP CO LTD,true
AC393,AMERICAN NATIONAL CAN,true
ACCUMAX,ACCUMAX LAB DEVICES,true
AD261,ALKO DIAGNOSTICS CORP,true
AE290,ALSOP ENGINEERING,true
AELAB,AELAB GUANGZHOU CO. LTD,true
AF697,APPLIED FIBEROPTICS,true
AG0110,AGT INTERNACIONAL,true
AH4140,ALLIED HEALTHCARE PROD,true
AI0166,AOV INTERNATIONAL,true
AI0185,ADVANCED INSTRUMENT,true
AI0198,ANGELANTONI INDUSTRIE,true
AI0264,ALBUQUERUE,true
AI0963,ALLGAIER INSTRUMENTE,true
AI270,ALCONOX,true
AK0255,AKRIBIS 1 LLC CONTROL,true
AM0302,ARDO MEDICAL,true
AM0706,ARGUS MEDICAL,true
ANQING,ANQING YIPAK PACKAGING MATERIAL CO.LTD.,true
AP0393,ALCAN PACKAGING,true
AP2132,AMETEK CHATILLON PROD,true
AS100,ACCURACY SCIENTIFIC,true
AT964,AWARENESS TECHNOLOGY INC,true
AX0955,AXMEDITEC,true
B1215,BAUMER S.A.,true
B1437,BIO-TEK INSTRUMENTS,true
B1550,BOEKEL INDUSTRIES,true
B1835,BILBOTRONICS,true
B9671,BIOCAP  S.A.,true
BA1310,BEL-ART PRODUCTS,true
BB0001,BIOBASE MEIHUA TRADING CO.LTD,true
BC0393,BEMIS COMPANY INC,true
BC1025,BAKER COMPANY,true
BC1180,BATTLE CREEK EQUIPMENT CO,true
BC2380,BACHARACH INC,true
BC2782,BRYMILL CRYOGENIC SYSTEMS,true
BD1280,BECTON DICKINSON LATIN,true
BE1220,BAXTER EXPORT CORPORATION,true
BEIJING STAR,BEIJING STARGET CHEMICALS CO. LTD,true
BELART,BELART  USA,true
BI1437,BIO-TEK INSTRUMENTS,true
BI1720,BROWNE INTERNATIONAL,true
BI1765,BUCHLER INSTRUMENTS,true
BM1425,BMS MEDICAL TECHNOLOGIES,true
BM7485,BPL MEDICAL,true
BR1421,BIOLOGIX RESEARCH CO,true
BT1140,BARNSTEAD / THERMOLYNE,true
BU1610,BRANSON ULTRASONICS CORP.,true
BW1372,BEROL WORLD TRADE,true
C2075,CASTLE USA,true
C2400,COLOPLAST,true
CA1921,CAMI SRL,true
CB1935,CAMBRIDGE BIOTECH,true
CB3901,COBE LABORATORIES,true
CC2560,COORS CERAMICS CO,true
CD1935,CAMBRIDGE DIAGNOSTICS,true
CD2350,CLINICAL DIAGNOSTICS INC,true
CE2620,COULTER CORP,true
CG0001,CORAL GABLES KITCHEN,true
CG2590,CORNING INCORPORATED USA,true
CG4200,CARIBBEAN SOUTH LTD,true
CH2140,CHATTANOOGA GROUP,true
CH2313,CLEARVIEW HEALTHCARE PROD,true
CI2698,CULLIGAN INTERNATIONAL CO,true
CISA,CISA BRASILE LTDA,true
CL2020,CARGUILLE LABORATORIES,true
CL2246,CHRONO LOG CORP,true
CM0706,CODAN MEDICAL,true
CM2055,CAS MEDICAL SYSTEMS INC,true
CM2590,CORNING MEXICANA S.A.,true
CM2601,COROMETRICS MEDICAL SYSTEMS,true
CONTURA,CONTURA,true
CP2385,COLE-PARMER INTL,true
CP7911,THERMO ELECTRIC,true
CR5110,CORBETT RESEARCH,true
CS0770,CARDIAC SCIENCE,true
CS2019,CARDINAL SCALE MANUFACTORING,true
CS2077,CENTURION SCIENTIFIC,true
CS2501,CONSOLIDATED STILL & STERILIZERS,true
CT2078,CENTRON TECHNOLOGIES,true
CU2650,CREST ULTRASONICS,true
D2733,DAMECA  A/S,true
D2737,DANMETER  A/S,true
D2741,DAAVLIN,true
D2782,DELASCO,true
D9671,DARQUIER,true
DH7545,DHD HEALTHCARE CORP,true
DI2730,DAIWA IRYOKI CO,true
DI3122,DYNAMED INTERNATIONAL,true
DIGISYSTEM,DIGISYSTEM LABORATORY,true
DM2725,DANTEC MEDICAL,true
DM2731,DATA MEDICAL,true
DM3047,DRAGER MEDICAL,true
DP2935,DIACARBIDE PRODUCTS INC,true
DR3050,DUNLAP EXPORT CO,true
DS3049,DONN SHERILL ASSOC,true
DT5641,DIXON TICONDEROGA MEXICO,true
DWK,DWK LIFE SCIENCES S. DE R.L.,true
EB3505,ESCHMANN BROS,true
EC3190,EBERBACH CORPORATION,true
EC3373,ELLTEC CO LTD,true
EE ENVAS,ESPECIALISTAS EN ESTERILIZACION,true
EM3544,EVERMED MEDICAL,true
EM6570,EUROMEX,true
ER3412,ENGINEERING & RESEARCH,true
ER3560,EVER READY / THERMOMETER,true
ES3461,ERIE SCIENTIFIC,true
EY3561,EYMASA INCOTRON,true
FLORES,FLORES VALLES,true
FOUR ES,FOUR E´S SCIENTIFIC,true
