id_alm,id_marca,id_categoria,codigo,cod_fab,existencia,descripcion,cunidad,serie_lote,vcto,maneja_serie_lote
0001,ACCUMAX,03,AT-1000-SLFB,AT-1000-S-L-F-B,7.000,PUNTA GRADUADA UNIVERSAL DE 1000 µL  ESTERIL  PK/1000  ACCUA,PK,-,,0
0001,ACCUMAX,03,AT-100-SLFB,AT-100-S-L-F-B,7.000,PUNTA GRADUADA UNIVERSAL DE 100 µL  ESTERIL  PK/1000 ACCUMAX,PK,-,,0
0001,ACCUMAX,03,AT-200-SLFB,AT-200-S-L-F-B,9.000,PUNTA GRADUADA UNIVERSAL  200 µL  ESTERIL  PK/1000   ACCUMAX,PK,-,,0
0001,ACCUMAX,03,AT-50-SLFB,AT-50-S-L-F-B,7.000,PUNTA GRADUADA UNIVERSAL DE 50 µL  ESTERIL  PK/1000  ACCUAMA,PK,-,,0
0001,AS100,03,T-2000-6,NO.COD.FAB,1.000,TERMOMETRO P/LABORAT.YELLOW BACK -10 a 400¦C. ACCU,UND,-,,0
0001,AS100,03,T-2002,NO.COD.FAB,2.000,TERMOMETRO P/HORNO 0 - 200¦C - ACCURACY SCIENTIFIC,UND,-,,0
0001,AS100,03,T-2265-1,NO.COD.FAB,1.000,TERMOMETRO MAX / MIN -40 a 120¦F. ACCURACY SCIENT,UND,-,,0
0001,AELAB,01,B20T,B20T,1.000,LAVADOR ULTRASONICO DE 20 LT. AELAB,UND,208SB0066,,1
0001,AELAB,01,B20T,B20T,1.000,LAVADOR ULTRASONICO DE 20 LT. AELAB,UND,208SB0076,,1
0001,AELAB,01,B20T,B20T,1.000,LAVADOR ULTRASONICO DE 20 LT. AELAB,UND,208SB0086,,1
0001,AELAB,01,B20T,B20T,1.000,LAVADOR ULTRASONICO DE 20 LT. AELAB,UND,208SB0096,,1
0001,AELAB,01,B20T,B20T,1.000,LAVADOR ULTRASONICO DE 20 LT. AELAB,UND,208SB0106,,1
0001,AELAB,01,B20T,B20T,1.000,LAVADOR ULTRASONICO DE 20 LT. AELAB,UND,208SB0116,,1
0001,AELAB,08,BASKET-12,,12.000,BANDEJAS ACERO INOX. P/LAVADOR ULTRASONICO AELAB,UND,-,,0
0001,AH4140,08,65638-X,,1.000,BOMBA DE ASPIRACION 220V-60CY. MOD. 3040 GOMCO U.S,UND,-,,0
0001,AH4140,08,65650-015,,6.000,BOTELLA PLASTICA UN GALON P/BOMBA D/SUCCION GOMCO,UND,-,,0
0001,ANQING,03,YTR-075,YTR-075,1.000,ROLLO DE PAPEL TYVEK 75MM.x 100M. P/ESTERILIZACION ANQING,ROL,-,,0
0001,ANQING,03,YTR-100,YTR-100,1.000,ROLLO DE PAPEL TYVEK 100MM.x100M. P/ESTERILIZACION ANQING,ROL,-,,0
0001,ANQING,03,YTR-150,YTR-150,1.000,ROLLO DE PAPEL TYVEK 150MM.x 100M. P/ESTERILIZACION ANQING,ROL,-,,0
0001,ANQING,03,YTR-200,YTR-200,1.000,ROLLO DE PAPEL TYVEK 200MM.x 100M.  P/ESTERILIZACION ANQING,ROL,-,,0
0001,ANQING,03,YTR-250,YTR-250,1.000,ROLLO DE PAPEL TYVEK 250MM. x 100M.  P/ESTERILIZACION ANQING,ROL,-,,0
0001,ANQING,03,YTR-350,YTR-350,1.000,ROLLO DE PAPEL TYVEK  350MM.x 100M P/ESTERILIZACION ANQING,ROL,-,,0
0001,ANQING,03,YTR-500,YTR-500,1.000,ROLLO DE PAPEL TYVEK 500MM.x 100M. P/ESTERILIZACION ANQING,ROL,-,,0
0001,AM0706,06,600607,600607,1.000,MICA VISOR DE ALARMA DERECHA P/BOMBA CODAN ARGUS,UND,-,,0
0001,AM0706,06,600608,600608,1.000,MICA VISOR DE ALARMA IZQUIERDA CODAN ARGUS,UND,-,,0
0001,AM0706,03,68050-707,18.1110,1.000,BOMBA DE INFUSION VOLUMETRICA MOD. 707 ARGUS MEDIC,UND,-,,0
0001,AT964,03,S-2033-00,3300,1.000,ANALIZADOR QUIMICO STAT FAX 3300 220V. AWARENESS,UND,-,,0
0001,BC2380,03,S-2056-X,NO.COD.FAB,6.000,CUBETAS 19x150MM. UNIDAD COLEMAN PERKIN ELMER,UND,-,,0
0001,BT1140,08,N-8090-480,SH480XI,3.000,BANDEJA D/CERAMICA 6.9x6.9 P/HORNO MUFLA BARNSTEAD,UND,-,,0
0001,BD1280,03,P-5230-X,NO.COD.FAB,12.000,GOTEROS MEDICINALES CAJA/12 BECTON DICKINSON USA,UND,-,,0
0001,BA1310,03,B609000400,B609000400,1.000,TERMOMETRO DIGITAL  DURAC  50/200C  125MM. BEL ART,UND,E185326,,1
0001,BA1310,03,B609000400,B609000400,1.000,TERMOMETRO DIGITAL  DURAC  50/200C  125MM. BEL ART,UND,E185343,,1
0001,BR1421,03,C-3850-015,10-0152,50.000,TUBO DE CENTRIFUGA GRADUADO 15ML PLASTICO BIOLOGIX,UND,-,,0
0001,BR1421,03,C-3850-050,10-0501,25.000,TUBO DE CENTRIFUGA GRADUADO 50ML PLASTICO BIOLOGIX,UND,-,,0
0001,BI1437,08,7330506,7330506,2.000,CABLE OPTO 14L ASBY PARA LAVADOR ELX50 BIO-TEK,UND,-,,0
